fecha_hora,comuna,region,velocidad_viento,direccion_viento_grados,temperatura,humedad
2026-06-01 00:00:00,Rancagua,O'Higgins,1.2,180,6.1,88
2026-06-01 06:00:00,Rancagua,O'Higgins,1.5,195,5.2,91
2026-06-01 12:00:00,Rancagua,O'Higgins,4.6,220,13.4,61
2026-06-01 18:00:00,Rancagua,O'Higgins,2.8,205,9.3,74
2026-06-02 00:00:00,Talca,Maule,1.0,170,4.8,92
2026-06-02 06:00:00,Talca,Maule,1.4,188,3.9,95
2026-06-02 12:00:00,Talca,Maule,5.1,230,12.6,63
2026-06-02 18:00:00,Talca,Maule,2.6,214,8.7,76
2026-06-03 00:00:00,Curicó,Maule,1.3,160,5.5,87
2026-06-03 06:00:00,Curico,Maule,1.6,176,4.6,90
2026-06-03 12:00:00,Curicó,Maule,4.9,222,13.1,60
2026-06-03 18:00:00,Curicó,Maule,2.7,208,8.9,73
2026-06-04 00:00:00,Chillán,Ñuble,0.8,145,3.5,94
2026-06-04 06:00:00,Chillan,Ñuble,1.1,158,2.9,96
2026-06-04 12:00:00,Chillán,Ñuble,4.3,210,"11,5",66
2026-06-04 18:00:00,Chillán,Ñuble,2.4,198,7.4,79
2026-06-05 00:00:00,San Carlos,Ñuble,0.9,150,3.8,93
2026-06-05 06:00:00,San Carlos,Ñuble,1.2,164,3.1,95
2026-06-05 12:00:00,San Carlos,Ñuble,4.1,216,12.0,64
2026-06-05 18:00:00,San Carlos,Ñuble,2.3,202,7.8,78
2026-09-10 00:00:00,Concepción,Biobío,1.7,95,8.1,86
2026-09-10 06:00:00,Concepcion,Bio Bio,2.0,110,7.4,88
2026-09-10 12:00:00,Concepción,Biobío,6.4,140,16.5,58
2026-09-10 18:00:00,Concepción,Biobío,4.7,126,12.9,69
2026-09-11 00:00:00,Coronel,Biobío,1.9,102,7.9,87
2026-09-11 06:00:00,Coronel,Biobío,2.2,118,7.0,90
2026-09-11 12:00:00,Coronel,Biobío,6.8,148,15.8,60
2026-09-11 18:00:00,Coronel,Biobío,4.9,132,12.1,71
2026-09-12 00:00:00,Hualpén,Biobío,2.1,108,8.3,85
2026-09-12 06:00:00, Hualpén ,Biobío,2.4,372,7.6,87
2026-09-12 12:00:00,Hualpén,Biobío,7.0,152,16.2,57
2026-09-12 18:00:00,Hualpén,Biobío,5.2,138,12.6,68
2026-06-08 00:00:00,San Fernando,O'Higgins,1.1,185,5.9,89
2026-06-08 06:00:00,San Fernando,O'Higgins,1.4,198,5.0,92
2026-06-08 12:00:00,San Fernando,O'Higgins,4.8,226,14.0,62
2026-06-08 18:00:00,San Fernando,O'Higgins,2.9,210,9.8,75
2026-09-17 00:00:00,Talca,Maule,1.6,176,7.5,85
2026-09-17 06:00:00,Talca,Maule,1.9,189,6.8,88
2026-09-17 12:00:00,Talca,Maule,5.8,228,16.8,56
2026-09-17 18:00:00,Talca,Maule,4.1,214,12.8,67
2026-09-18 00:00:00,Curicó,Maule,1.5,170,7.8,83
2026-09-18 06:00:00,Curicó,Maule,1.8,184,7.0,86
2026-09-18 12:00:00,Curicó,Maule,5.6,224,16.1,57
2026-09-18 18:00:00,Curicó,Maule,4.0,209,12.4,68
2026-09-19 00:00:00,Chillán,Ñuble,1.2,152,6.9,89
2026-09-19 06:00:00,Chillán,Ñuble,1.5,166,6.1,92
2026-09-19 12:00:00,Chillán,Ñuble,5.0,218,15.4,59
2026-09-19 18:00:00,Chillán,Ñuble,3.6,204,11.7,70
2026-09-20 00:00:00,San Carlos,Ñuble,1.1,148,6.5,90
2026-09-20 06:00:00,San Carlos,Ñuble,1.4,161,5.8,93
2026-09-20 12:00:00,San Carlos,Ñuble,4.8,214,14.9,61
2026-09-20 18:00:00,San Carlos,Ñuble,3.4,200,11.3,72
2026-09-21 00:00:00,Concepción,Biobío,2.0,98,8.4,86
2026-09-21 06:00:00,Concepción,Biobío,2.3,112,7.6,89
2026-09-21 12:00:00,Concepción,Biobío,6.6,144,16.7,58
2026-09-21 18:00:00,Concepción,Biobío,4.8,128,13.0,69
2026-09-22 00:00:00,Coronel,Biobío,2.1,104,8.0,88
2026-09-22 06:00:00,Coronel,Biobío,2.5,118,7.2,91
2026-09-22 12:00:00,Coronel,Biobío,6.9,149,15.9,59
2026-09-22 18:00:00,Coronel,Biobío,5.1,134,12.3,70
2026-09-23 00:00:00,Hualpén,Biobío,2.2,109,8.6,86
2026-09-23 06:00:00,Hualpén,Biobío,2.6,123,7.8,104
2026-09-23 12:00:00,Hualpén,Biobío,7.1,154,16.3,57
2026-09-23 18:00:00,Hualpén,Biobío,5.3,139,12.7,68
