fecha_hora,codigo_estacion,comuna,region,mp25,mp10,so2,no2
2026-06-01 00:00:00,OF-RAN-001,Rancagua,O'Higgins,52.4,88.1,17.3,31.0
2026-06-01 06:00:00,OF-RAN-001,Rancagua,O'Higgins,49.8,84.4,16.8,29.6
2026-06-01 12:00:00,OF-RAN-001,Rancagua,O'Higgins,28.5,54.2,14.1,24.7
2026-06-01 18:00:00,OF-RAN-001,Rancagua,O'Higgins,"45,2",76.3,15.9,28.3
2026-06-02 00:00:00,OF-TAL-001, Talca ,Maule,61.7,97.5,13.6,27.4
2026-06-02 06:00:00,OF-TAL-001,Talca,Maule,57.9,92.8,13.2,26.8
2026-06-02 12:00:00,OF-TAL-001,Talca,Maule,34.1,60.7,11.5,22.1
2026-06-02 18:00:00,OF-TAL-001,Talca,Maule,53.0,85.1,12.7,25.5
2026-06-03 00:00:00,OF-CUR-001,Curicó,Maule,58.2,91.2,12.0,24.8
2026-06-03 06:00:00,OF-CUR-001,Curico,Maule,55.4,87.0,11.8,24.1
2026-06-03 12:00:00,OF-CUR-001,Curicó,Maule,31.8,58.8,10.7,21.5
2026-06-03 18:00:00,OF-CUR-001,Curicó,Maule,51.1,82.6,11.3,23.4
2026-06-04 00:00:00,OF-CHI-001,Chillán,Ñuble,74.5,118.7,15.2,26.9
2026-06-04 06:00:00,OF-CHI-001,Chillan,Ñuble,69.8,111.3,14.9,26.1
2026-06-04 12:00:00,OF-CHI-001,Chillán,Ñuble,42.2,70.5,12.8,22.0
2026-06-04 18:00:00,OF-CHI-001,Chillán,Ñuble,64.1,103.4,13.7,24.4
2026-06-05 00:00:00,OF-SCA-001,San Carlos,Ñuble,68.0,109.8,13.1,23.9
2026-06-05 06:00:00,OF-SCA-001,San Carlos,Ñuble,65.4,104.1,12.9,23.1
2026-06-05 12:00:00,OF-SCA-001,San Carlos,Ñuble,39.7,67.4,11.2,20.8
2026-06-05 18:00:00,OF-SCA-001,San Carlos,Ñuble,59.5,96.9,12.1,22.6
2026-09-10 00:00:00,OF-CON-001,Concepción,Biobío,44.3,79.5,34.8,48.7
2026-09-10 06:00:00,OF-CON-001,Concepcion,Bio Bio,41.5,75.2,33.9,46.4
2026-09-10 12:00:00,OF-CON-001,Concepción,Biobío,24.8,50.1,29.4,39.8
2026-09-10 18:00:00,OF-CON-001,Concepción,Biobío,38.6,69.7,31.1,44.5
2026-09-11 00:00:00,OF-COR-001,Coronel,Biobío,55.0,101.8,47.9,59.0
2026-09-11 06:00:00,OF-COR-001,Coronel,Biobío,51.7,96.5,45.6,57.1
2026-09-11 12:00:00,OF-COR-001,Coronel,Biobío,29.9,61.0,39.5,49.2
2026-09-11 18:00:00,OF-COR-001,Coronel,Biobío,49.2,90.8,43.8,55.4
2026-09-12 00:00:00,OF-HUA-001,Hualpén,Biobío,57.3,108.4,310.0,63.2
2026-09-12 06:00:00,OF-HUA-001,Hualpén,Biobío,54.9,103.2,48.7,60.5
2026-09-12 06:00:00,OF-HUA-001,Hualpén,Biobío,54.9,103.2,48.7,60.5
2026-09-12 18:00:00,OF-HUA-001,Hualpén,Biobío,46.1,84.6,42.3,
